2026-03-18T13:13:11.173723 00123456780210704574123280022700009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.74, 'distance': 123.28, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:13:11.173163'}
2026-03-18T13:13:12.175766 00123456780210604564243800023000009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.64, 'distance': 243.8, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:12.175192'}
2026-03-18T13:13:13.177751 00123456780210704560123310022700009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.6, 'distance': 123.31, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:13:13.177137'}
2026-03-18T13:13:14.180384 00123456780210804571242080023100009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.71, 'distance': 242.08, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:14.179755'}
2026-03-18T13:13:15.181586 00123456780210904574123330022900009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.74, 'distance': 123.33, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:15.181223'}
2026-03-18T13:13:17.196256 00123456780210604577243540022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.77, 'distance': 243.54, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:17.195816'}
2026-03-18T13:13:18.198307 00123456780210704563123480022600009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.63, 'distance': 123.48, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:18.197914'}
2026-03-18T13:13:19.199897 00123456780210604573243660023100009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.73, 'distance': 243.66, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:19.199516'}
2026-03-18T13:13:20.201849 00123456780210604564123080022600009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.64, 'distance': 123.08, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:20.201275'}
2026-03-18T13:13:21.203746 00123456780210504574125860023200009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.74, 'distance': 125.86, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:13:21.203160'}
2026-03-18T13:13:22.205554 00123456780210604561243070023000009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.61, 'distance': 243.07, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:22.204961'}
2026-03-18T13:13:23.207987 00123456780210604572123060022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.72, 'distance': 123.06, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:23.207357'}
2026-03-18T13:13:25.223753 00123456780210704577239570022900009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.77, 'distance': 239.57, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:25.223287'}
2026-03-18T13:13:26.225786 00123456780210504569121770022900009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.69, 'distance': 121.77, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:26.225396'}
2026-03-18T13:13:27.227466 00123456780210504566238700023000009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.66, 'distance': 238.7, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:27.227083'}
2026-03-18T13:13:28.228917 00123456780210404571122140022400009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.71, 'distance': 122.14, 'mq4': 224, 'mq136': 9, 'timestamp': '2026-03-18T13:13:28.228527'}
2026-03-18T13:13:29.230929 00123456780210804562239090023100009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.62, 'distance': 239.09, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:29.230543'}
2026-03-18T13:13:30.232238 00123456780210504557121680022700009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.57, 'distance': 121.68, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:13:30.231771'}
2026-03-18T13:13:31.233236 00123456780210704575236680023100009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.75, 'distance': 236.68, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:31.232853'}
2026-03-18T13:13:33.247268 00123456780210704573121970022800009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.73, 'distance': 121.97, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:33.246878'}
2026-03-18T13:13:34.249577 00123456780210804571236640023100009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.71, 'distance': 236.64, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:34.249001'}
2026-03-18T13:13:35.251920 00123456780210604577121770022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.77, 'distance': 121.77, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:35.251253'}
2026-03-18T13:13:36.254817 00123456780210704577236630023000009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.77, 'distance': 236.63, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:36.254249'}
2026-03-18T13:13:37.256781 00123456780210704564121970022800009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.64, 'distance': 121.97, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:37.256402'}
